a: 14, b: 9 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 14, b: 10 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 14, b: 11 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 14, b: 12 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 14, b: 13 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 14, b: 14 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 14, b: 15 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 15, b: 0 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 15, b: 1 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 15, b: 2 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 15, b: 3 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 15, b: 4 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 15, b: 5 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 15, b: 6 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 15, b: 7 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 15, b: 8 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 15, b: 9 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 15, b: 10 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 15, b: 11 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 15, b: 12 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 15, b: 13 | Non-Quantized: 1.5625e-2 | Quantized: 0.0 | MSE: 2.44140625e-4
a: 15, b: 14 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 15, b: 15 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
Overall Mean MSE: 4.4995546340942383e-4
